Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SCCO,Southern Copper Corporation,43.13,33340666112,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/scco
SSRM,SSR Mining Inc.,9.81,1173104433,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ssrm
STLD,"Steel Dynamics, Inc.",38.9,9331054799,n/a,1996,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/stld
SCL,Stepan Company,86.83,1956736105,n/a,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/scl
SRCL,"Stericycle, Inc.",72.69,6203269013,n/a,1996,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srcl
SRCLP,"Stericycle, Inc.",58.83,0,n/a,n/a,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srclp
STRL,Sterling Construction Company Inc,14.72,397884647,n/a,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/strl
SUM,"Summit Materials, Inc.",31.77,3415426829,n/a,2015,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/sum
SXCP,"SunCoke Energy Partners, L.P.",17.8,822781931.2,n/a,2013,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sxcp
SXC,"SunCoke Energy, Inc.",10.28,661306417,n/a,2011,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sxc
SYNL,Synalloy Corporation,14.35,125087414.6,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/synl
SYT,Syngenta AG,92.07,42453703032,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/syt
SYMX,"Synthesis Energy Systems, Inc.",0.4332,37906864.93,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/symx
TAHO,"Tahoe Resources, Inc.",4.99,1560751047,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/taho
TANH,Tantech Holdings Ltd.,2.95,79095208.25,n/a,2015,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/tanh
TRX,Tanzanian Royalty Exploration Corporation,0.2898,35293182.59,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/trx
TGB,Taseko Mines Limited,2.23,505081918.8,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/tgb
TECK,Teck Resources Ltd,22.74,12973306190,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/teck
TS,Tenaris S.A.,26.29,15518158865,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ts
TX,Ternium S.A.,31.82,6246510282,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/tx
TNH,"Terra Nitrogen Company, L.P.",79.75,1475500686,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/tnh
AES,The AES Corporation,11.13,7348657605,n/a,n/a,Basic Industries,Electric Utilities: Central,http://www.nasdaq.com/symbol/aes
TMST,Timken Steel Corporation,17.57,780547021.6,n/a,2014,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/tmst
TWI,"Titan International, Inc.",9.7,579098138.3,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/twi
BLD,TopBuild Corp.,65.3,2320912647,n/a,2015,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/bld
TORM          ,TOR Minerals International Inc,7.2645,25728701.44,n/a,1988,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/torm
TREX,"Trex Company, Inc.",88.97,2616260005,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/trex
TMQ,Trilogy Metals Inc.,1.07,113063823.8,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/tmq
TSE,Trinseo S.A.,72,3151652616,n/a,2014,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/tse
TROX,Tronox Limited,26.33,3152895697,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/trox
TRQ,Turquoise Hill Resources Ltd.,3.18,6399160011,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/trq
TPC,Tutor Perini Corporation,27.9,1388890179,n/a,n/a,Basic Industries,General Bldg Contractors - Nonresidential Bldgs,http://www.nasdaq.com/symbol/tpc
SLCA,"U.S. Silica Holdings, Inc.",27.99,2273157524,n/a,2012,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/slca
UN,Unilever NV,56.32,1.62389E+11,n/a,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/un
UL,Unilever PLC,54.79,1.57977E+11,n/a,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/ul
USLM,"United States Lime & Minerals, Inc.",93.4,520861538.4,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uslm
X,United States Steel Corporation,28.43,4972736873,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/x
