Date,Party,Important
10/1/1990,republican,0
11/1/1990,republican,0
12/1/1990,republican,0
1/1/1991,republican,0
2/1/1991,republican,0
3/1/1991,republican,0
4/1/1991,republican,0
5/1/1991,republican,0
6/1/1991,republican,0
7/1/1991,republican,0
8/1/1991,republican,0
9/1/1991,republican,0
10/1/1991,republican,0
11/1/1991,republican,0
12/1/1991,republican,0
1/1/1992,republican,0
2/1/1992,republican,0
3/1/1992,republican,0
4/1/1992,republican,0
5/1/1992,republican,0
6/1/1992,republican,0
7/1/1992,republican,0
8/1/1992,republican,0
9/1/1992,republican,0
10/1/1992,republican,2
11/1/1992,republican,2
12/1/1992,republican,2
1/1/1993,democrat,2
2/1/1993,democrat,2
3/1/1993,democrat,2
4/1/1993,democrat,0
5/1/1993,democrat,0
6/1/1993,democrat,0
7/1/1993,democrat,0
8/1/1993,democrat,0
9/1/1993,democrat,0
10/1/1993,democrat,0
11/1/1993,democrat,0
12/1/1993,democrat,0
1/1/1994,democrat,0
2/1/1994,democrat,0
3/1/1994,democrat,0
4/1/1994,democrat,0
5/1/1994,democrat,0
6/1/1994,democrat,0
7/1/1994,democrat,0
8/1/1994,democrat,0
9/1/1994,democrat,0
10/1/1994,democrat,0
11/1/1994,democrat,0
12/1/1994,democrat,0
1/1/1995,democrat,0
2/1/1995,democrat,0
3/1/1995,democrat,0
4/1/1995,democrat,0
5/1/1995,democrat,0
6/1/1995,democrat,0
7/1/1995,democrat,0
8/1/1995,democrat,0
9/1/1995,democrat,0
10/1/1995,democrat,0
11/1/1995,democrat,0
12/1/1995,democrat,0
1/1/1996,democrat,0
2/1/1996,democrat,0
3/1/1996,democrat,0
4/1/1996,democrat,0
5/1/1996,democrat,0
6/1/1996,democrat,0
7/1/1996,democrat,0
8/1/1996,democrat,0
9/1/1996,democrat,0
10/1/1996,democrat,0
11/1/1996,democrat,0
12/1/1996,democrat,0
1/1/1997,democrat,0
2/1/1997,democrat,0
3/1/1997,democrat,0
4/1/1997,democrat,0
5/1/1997,democrat,0
6/1/1997,democrat,0
7/1/1997,democrat,0
8/1/1997,democrat,0
9/1/1997,democrat,0
10/1/1997,democrat,0
11/1/1997,democrat,0
12/1/1997,democrat,0
1/1/1998,democrat,0
2/1/1998,democrat,0
3/1/1998,democrat,0
4/1/1998,democrat,0
5/1/1998,democrat,0
6/1/1998,democrat,0
7/1/1998,democrat,0
8/1/1998,democrat,0
9/1/1998,democrat,0
10/1/1998,democrat,0
11/1/1998,democrat,0
12/1/1998,democrat,0
1/1/1999,democrat,0
2/1/1999,democrat,0
3/1/1999,democrat,0
4/1/1999,democrat,0
5/1/1999,democrat,0
6/1/1999,democrat,0
7/1/1999,democrat,0
8/1/1999,democrat,0
9/1/1999,democrat,0
10/1/1999,democrat,1
11/1/1999,democrat,1
12/1/1999,democrat,1
